# evals,min,q25,med,q75,max,ave
50.0,29997.561757195428,35886.34363389027,38660.52502415084,41386.24014622875,46387.25690575696,38563.397869077045
100.0,29068.983257692158,35522.93313696319,38480.959072470665,41344.13406165298,45725.61600060668,38011.64299718944
150.0,29068.983257692158,32859.40207749714,37922.922554545854,40807.32236444834,45725.61600060668,37321.41355091027
200.0,28151.339492923682,31711.158339340378,36270.14476786619,40019.73048209943,45420.13316881033,36187.59514050986
250.0,26216.43088489766,31544.427531114037,34582.68299522002,38499.26912569583,45420.13316881033,35084.193389885564
300.0,22808.715444430112,29548.28527553797,33531.324768110244,37344.62118569199,45420.13316881033,33810.44552982594
350.0,22808.715444430112,28567.674326651228,32333.90645124083,36550.75321637342,41472.09643880116,32240.354941439695
400.0,16566.067481411163,27272.95073824898,29478.79744316782,33590.5752431076,40763.352196502565,29992.40653677428
450.0,16566.067481411163,25553.048017745285,28657.885545522207,30811.3527002488,40472.37586593095,28289.01770495466
500.0,16566.067481411163,23761.17920559561,28319.214123588667,30583.440428441772,34471.176882940366,26831.09691596561
550.0,16566.067481411163,21522.976470083908,27010.850224891365,29616.48833760804,34471.176882940366,25832.600252883047
600.0,16566.067481411163,21522.976470083908,25875.057156479743,28076.87084857151,34471.176882940366,25180.825703570936
650.0,16566.067481411163,21211.4810967961,24313.00520706096,26714.441197409986,33064.047825804075,24111.911685031722
700.0,14937.42735402393,19244.06994760506,24231.756130462927,26307.676510709265,33064.047825804075,23028.62188980176
750.0,14937.42735402393,18691.628405693493,23382.218190641997,25295.048843933473,33064.047825804075,22274.601490331406
800.0,14937.42735402393,18691.628405693493,21501.505783340923,24275.32123959757,27275.739548754394,21132.204177505617
850.0,14323.845655092335,17572.092444657123,20133.19023811409,23474.794819244224,27275.739548754394,20417.228245241542
900.0,14323.845655092335,17012.850213589947,19284.487492699765,22500.25296121424,27275.739548754394,19766.576824676304
950.0,14323.845655092335,16075.592687168726,18237.760534152687,21573.29456923058,27275.739548754394,18874.215093750212
1000.0,14323.845655092335,15763.217688157762,17741.342728855197,20808.042540507733,27099.652420049224,18371.253541635142
1050.0,11481.791495860105,14949.448402802733,17024.610046523623,18829.23185026509,25464.464040391602,17244.88764811485
1100.0,9753.402376259688,14371.520863481748,15971.835235738203,18179.654867168854,22448.885019739068,16159.245889055535
1150.0,9747.229539116526,14064.557657178279,15971.835235738203,17448.296074542675,21687.170662647426,15645.276374953444
1200.0,8940.275906745435,12913.703492050083,14708.671001577179,16706.049531516765,21687.170662647426,14792.329212929264
1250.0,6418.541517905908,12603.990697549707,14250.963571276097,16011.09771366022,18165.78616902426,14034.326349486924
1300.0,6418.541517905908,10763.893897076927,13197.324274994986,15344.88157131631,17617.278573612446,12920.125333214793
1350.0,6418.541517905908,10334.101607591585,12946.478417439572,14261.432651302463,16818.079336356972,12447.447535949806
1400.0,6418.541517905908,9772.54293712467,11970.769064972385,13348.351369024429,16363.823551738278,11659.218849719176
1450.0,6111.786911780692,9748.772748402316,11410.189785285525,13213.295728090077,16363.823551738278,11269.230956912348
1500.0,6111.786911780692,9480.886218274607,10806.209232088297,12359.601601857565,13716.890091308753,10582.396343892127
1550.0,6111.786911780692,9061.931938668402,10239.493047374242,11503.734926777188,13716.890091308753,10199.168645282483
1600.0,4648.244768010631,8377.583204367927,9828.349326609634,11136.271292608095,13716.890091308753,9762.212535541152
1650.0,4648.244768010631,7957.049972700387,9441.15338391404,10843.705570996448,13050.366543365115,9224.954511056183
1700.0,4648.244768010631,7333.093612565475,8963.425276858374,10508.270719053648,12438.620568020673,8774.219895327467
1750.0,4648.244768010631,7333.093612565475,8963.425276858374,10508.270719053648,12438.620568020673,8723.04216424143
1800.0,3981.132028270153,6445.455107146284,8117.304529548407,10029.852345839143,11459.117878215315,8181.973922554599
1850.0,3981.132028270153,6347.830534524729,7550.075506994447,8712.461549161453,10998.401378391796,7591.523248766971
1900.0,3981.132028270153,6347.830534524729,7374.692443931943,8413.278911642545,10499.29189234622,7376.900427075507
1950.0,3919.168415711305,5611.001175726428,6544.702092148675,8182.561744692435,10499.29189234622,6870.982314418169
2000.0,3919.168415711305,5410.173140349795,5957.217489546683,7606.419749514811,9746.5646131224,6475.248200418827
2050.0,3740.287778195683,5329.067911941148,5956.019538541938,6963.770537154676,9746.5646131224,6232.3970780692425
2100.0,3740.287778195683,5216.976863129549,5956.019538541938,6794.593765102214,9746.5646131224,6039.289099346683
2150.0,3740.287778195683,4688.087975106794,5650.240886989406,6264.559124068257,9746.5646131224,5652.474639169688
