# evals,trial1,trial2,trial3,trial4,trial5,trial6,trial7,trial8,trial9,trial10,trial11,trial12,trial13,trial14,trial15,trial16,trial17,trial18,trial19,trial20,trial21,trial22,trial23,trial24,trial25,trial26,trial27,trial28,trial29,trial30
50.0,30812.38822179837,37799.33572225898,30253.535053552736,36541.21405249505,39478.087049713205,42316.77583012685,34343.978356334774,34876.20650984644,45121.00016896922,37473.27668769076,45551.82780249053,34302.68289196293,48734.50597320525,31126.50547726729,27336.587628967813,42047.047748621895,42117.470656639176,34666.255185275644,36411.816136774076,37920.4068954757,39173.016437383725,40449.63974241247,47014.924837966835,45106.05272805181,34360.54872610317,40954.73994065172,33916.750227186574,30107.51041050465,39689.87023392748,38926.31542137101
100.0,30812.38822179837,30934.070147675062,25878.576193256973,36315.89213525924,20072.574112994087,41541.10626349153,32838.61966545264,26832.87207224375,30819.91430305262,33152.66792287283,38953.08252526415,34302.68289196293,38940.266244035294,31126.50547726729,27336.587628967813,37750.669519864256,31960.841008057076,34208.045966350284,36377.22662332921,36117.179360894435,32477.03087836129,32754.548665249575,33998.96145299292,35477.072215936976,19607.29563071805,35645.19505086188,29275.844420940033,25698.57942721565,32571.486933759155,28506.981948390992
150.0,28531.268964599283,24620.424018951857,20132.28141020813,26306.24629185702,20072.574112994087,35315.34931173217,30492.947653501138,25592.635914451716,30649.91657016063,33152.66792287283,38953.08252526415,26698.969187170762,28484.859409115004,27826.29997100833,26747.343869118882,18612.690361211822,21262.19295466824,25499.735919201725,34516.39710596632,25737.930587079518,23718.089708657295,28474.468003389928,25849.61672623601,27248.746315655826,19607.29563071805,22038.70815391818,27937.896497847047,25698.57942721565,29751.648386051515,22835.899932407974
200.0,27206.78642129982,24620.424018951857,20132.28141020813,26306.24629185702,20072.574112994087,19782.408187805482,22773.884616400956,25592.635914451716,21509.7757715658,18473.971194860784,31446.79664306716,23109.814732148065,27675.446598540337,22546.98013417941,19671.694110035558,18612.690361211822,18240.08499234947,25499.735919201725,26232.116102972173,25737.930587079518,23127.032659932676,28474.468003389928,20967.16044812012,21889.571917849513,19607.29563071805,16212.786067847537,21222.701428724034,25584.589191946026,23089.143567679588,22835.899932407974
250.0,26172.848277649908,21241.590658288827,16709.076559749366,19057.669418382648,19013.960133198278,19782.408187805482,22773.884616400956,13312.080976362808,21509.7757715658,18473.971194860784,27795.682193282944,20131.606658611046,27675.446598540337,22546.98013417941,14614.263602410296,18612.690361211822,18240.08499234947,19612.29573747475,23479.435677427446,17693.308034180765,23127.032659932676,23370.139857105878,20967.16044812012,21889.571917849513,13970.407911878112,16212.786067847537,16572.080038712218,20822.47231985123,22793.255414641957,22835.899932407974
300.0,21151.270227108795,18574.207253871784,16350.98925105714,19057.669418382648,19013.960133198278,19782.408187805482,22773.884616400956,13312.080976362808,21509.7757715658,18473.971194860784,23552.97938190936,12352.055182071563,18705.569545667648,17033.617312318765,9340.860289419448,18360.151185538565,18240.08499234947,19612.29573747475,20870.375618843394,17284.313774384347,18339.590725233233,17853.952539794896,20967.16044812012,17512.966023475943,13970.407911878112,16101.254151435596,16095.904368515998,19738.607691013032,19093.681338337487,18454.6205762576
350.0,20952.239978937763,18574.207253871784,13391.471769711,15487.965150719065,19013.960133198278,19782.408187805482,19678.965625763303,13312.080976362808,14102.00189769298,13139.170911213785,20628.74480142544,12352.055182071563,18705.569545667648,11362.893736428345,9340.860289419448,17125.98937288456,18240.08499234947,19612.29573747475,20870.375618843394,17284.313774384347,15247.452606421457,17853.952539794896,20392.702844673284,17512.966023475943,13970.407911878112,14066.64578905798,13475.98083254413,16112.323029540212,19093.681338337487,16545.740407977934
400.0,17627.406851299693,18483.542418633064,13391.471769711,13437.056132028993,16702.35734780844,17166.75146511978,17679.856767702604,13312.080976362808,14054.957330118015,13069.638378274252,19399.151482067617,12352.055182071563,13644.134318504852,10486.270272809876,9340.860289419448,14737.602970551743,13444.235231214128,19612.29573747475,17117.812171139485,17284.313774384347,15247.452606421457,17853.952539794896,14965.512946202425,15248.141403988826,11771.27877489778,9980.063150421807,13475.98083254413,15101.520897432247,18953.88343791072,13800.982532327234
450.0,14128.83248867138,14613.49591521906,13391.471769711,13437.056132028993,16702.35734780844,13871.549183353498,14943.035410173357,13312.080976362808,13729.63204253779,13069.638378274252,19388.843660207123,12352.055182071563,13644.134318504852,10486.270272809876,7493.175877432788,12618.798184754993,11183.651278719666,19612.29573747475,17117.812171139485,13639.107212597772,13805.994515705337,16456.954236857175,8987.343226283077,15248.141403988826,11771.27877489778,9586.19351038533,6461.578539598616,14381.077349783933,14511.126303045687,10975.691083647656
500.0,14128.83248867138,12511.151600615874,9694.467989341556,11059.005099794611,14288.64710179859,13871.549183353498,14782.683805612749,9630.60984656243,13729.63204253779,13069.638378274252,11808.84157006884,12352.055182071563,13033.490675874154,10486.270272809876,7493.175877432788,8234.056983333876,11183.651278719666,19156.16260255383,14633.641780170541,13639.107212597772,12037.211690916321,13781.094740419825,8987.343226283077,11873.224508794992,7946.453597113562,9495.618645099785,6461.578539598616,11095.901158200602,6818.313442116063,10975.691083647656
550.0,12757.634913651784,10416.986001959123,9694.467989341556,10830.814076110499,7273.054638054911,13871.549183353498,11891.462302921755,9630.60984656243,9238.26187042572,13069.638378274252,11808.84157006884,12352.055182071563,8872.661098796863,10486.270272809876,7493.175877432788,8234.056983333876,11041.21571462217,13054.986479087609,13159.046590836797,12239.440915285635,10387.754119225887,12923.225975524843,8987.343226283077,11873.224508794992,7946.453597113562,7411.714158952714,6461.578539598616,11095.901158200602,6818.313442116063,10975.691083647656
600.0,12757.634913651784,10416.986001959123,9694.467989341556,8145.214568410349,7273.054638054911,13871.549183353498,9410.625898981378,6611.024617498598,9238.26187042572,10719.397990547423,11808.84157006884,12352.055182071563,8872.661098796863,10029.886444447513,7493.175877432788,6258.747140532709,10638.836162464386,10749.344000357829,13159.046590836797,11990.326648930457,8879.48148665451,12923.225975524843,8987.343226283077,11583.291312835538,7946.453597113562,7247.20536209605,6101.8736310068725,11095.901158200602,6818.313442116063,10975.691083647656
650.0,10994.558991317215,10416.986001959123,6474.4642475646,8145.214568410349,7273.054638054911,12354.912189201152,9410.625898981378,6611.024617498598,9238.26187042572,9609.23854020674,9403.95180274699,12352.055182071563,8872.661098796863,7570.86802325249,7493.175877432788,6258.747140532709,10466.34045984462,8286.646671383602,8992.726725578772,11240.360229436836,8879.48148665451,8509.400919460739,5817.113615014593,9654.576778136116,6718.162944865768,5868.4274208261795,6101.8736310068725,8817.107651452829,6818.313442116063,9185.865052738305
700.0,9652.850121593214,9385.614526759016,5345.061058848641,8145.214568410349,7273.054638054911,12354.912189201152,7035.657983252951,6569.473821375528,8822.982223754494,9457.54931342223,9403.95180274699,11353.647834734415,8872.661098796863,7570.86802325249,6567.617162406285,6258.747140532709,10466.34045984462,8286.646671383602,8992.726725578772,6957.882664268542,8879.48148665451,7270.738135724074,5817.113615014593,9654.576778136116,6718.162944865768,5868.4274208261795,6101.8736310068725,7407.269602641317,6818.313442116063,7719.656164471699
750.0,5896.231935284633,7093.959108877626,5345.061058848641,7338.500865358113,6353.344558788307,10636.898585017465,7035.657983252951,6343.876537594632,7398.4847457786545,8214.451628565417,7811.002449202524,11353.647834734415,7091.434950003974,7570.86802325249,6567.617162406285,4333.003924601081,8902.086258371315,8286.646671383602,6583.525607124631,6957.882664268542,7739.2500384656905,6056.766737087337,5817.113615014593,9654.576778136116,6079.121707053924,5679.551661817808,6101.8736310068725,7407.269602641317,6818.313442116063,7678.476101391789
800.0,5896.231935284633,5502.867909880493,4935.909899566908,7338.500865358113,4372.456837084567,9424.168692680689,7035.657983252951,6343.876537594632,5427.982589946979,7714.058502556098,7811.002449202524,7905.454431531277,6988.235362279183,3835.9318108119746,4594.413549540114,4333.003924601081,6180.865261650721,7773.628377018125,6474.53288313135,6778.105791134604,7739.2500384656905,5754.306723972364,4302.833880309072,8583.239959534427,4650.045887750172,4328.150189147721,5421.931435618609,7407.269602641317,5773.3774874739,7215.728564427199
850.0,5098.770077517961,4298.909804747847,4935.909899566908,4212.492003707826,4264.937376418346,9424.168692680689,6513.951355715072,6343.876537594632,3944.3484278334795,7193.732732976844,7811.002449202524,7087.093092014911,5665.439738375656,3835.9318108119746,4594.413549540114,4333.003924601081,6180.865261650721,7478.304446325311,6474.53288313135,6778.105791134604,6677.208471054977,5049.356152631753,4302.833880309072,6532.124804132024,4027.119891857466,3741.969477647589,4289.617208748409,5641.261786226048,5124.76955289431,6781.7707668364665
