# evals,fx,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19
5.000000000000000000e+01,4.131430793668193655e+04,5.598768060835831761e+01,-1.864634762028836690e+01,-1.095309554979505151e+01,-2.885421366277792288e+01,-2.046908117141306604e+01,7.618286530317243432e+01,-3.434410225548214157e+01,3.530695967319070405e+01,4.573755444538051051e+01,-3.590547905632288916e+01,4.087318326089175002e+00,-7.802126631183196537e+01,5.971619356187443373e+01,-1.095570052362310776e+01,6.858392333100880478e+00,-7.344551434990231087e+01,4.382991609913503339e+01,2.986052163845354812e+01,8.056581290636557924e+01,1.773437507018446979e+01
1.000000000000000000e+02,4.131430793668193655e+04,5.598768060835831761e+01,-1.864634762028836690e+01,-1.095309554979505151e+01,-2.885421366277792288e+01,-2.046908117141306604e+01,7.618286530317243432e+01,-3.434410225548214157e+01,3.530695967319070405e+01,4.573755444538051051e+01,-3.590547905632288916e+01,4.087318326089175002e+00,-7.802126631183196537e+01,5.971619356187443373e+01,-1.095570052362310776e+01,6.858392333100880478e+00,-7.344551434990231087e+01,4.382991609913503339e+01,2.986052163845354812e+01,8.056581290636557924e+01,1.773437507018446979e+01
1.500000000000000000e+02,3.157057841995277704e+04,4.407295888475718471e+01,-1.071272944547023798e+01,-2.007245201966670578e+01,-3.459779682577909199e+01,-1.384256203956883446e+01,-3.353312211139716226e-01,2.307371148504698866e+01,-3.081715829600972256e+01,2.183850772036842258e+01,-3.657605190824035191e+01,7.623104896195502533e+01,-3.697151239443090276e+01,5.468976968559100982e+01,-3.282122885333875217e+01,-5.225808884188930392e+01,4.633411049777450330e+01,-5.946366346324715835e+01,1.685465905717124357e+01,4.530250518445768648e+01,4.928060414926962807e+01
2.000000000000000000e+02,3.157057841995277704e+04,4.407295888475718471e+01,-1.071272944547023798e+01,-2.007245201966670578e+01,-3.459779682577909199e+01,-1.384256203956883446e+01,-3.353312211139716226e-01,2.307371148504698866e+01,-3.081715829600972256e+01,2.183850772036842258e+01,-3.657605190824035191e+01,7.623104896195502533e+01,-3.697151239443090276e+01,5.468976968559100982e+01,-3.282122885333875217e+01,-5.225808884188930392e+01,4.633411049777450330e+01,-5.946366346324715835e+01,1.685465905717124357e+01,4.530250518445768648e+01,4.928060414926962807e+01
2.500000000000000000e+02,3.157057841995277704e+04,4.407295888475718471e+01,-1.071272944547023798e+01,-2.007245201966670578e+01,-3.459779682577909199e+01,-1.384256203956883446e+01,-3.353312211139716226e-01,2.307371148504698866e+01,-3.081715829600972256e+01,2.183850772036842258e+01,-3.657605190824035191e+01,7.623104896195502533e+01,-3.697151239443090276e+01,5.468976968559100982e+01,-3.282122885333875217e+01,-5.225808884188930392e+01,4.633411049777450330e+01,-5.946366346324715835e+01,1.685465905717124357e+01,4.530250518445768648e+01,4.928060414926962807e+01
3.000000000000000000e+02,3.157057841995277704e+04,4.407295888475718471e+01,-1.071272944547023798e+01,-2.007245201966670578e+01,-3.459779682577909199e+01,-1.384256203956883446e+01,-3.353312211139716226e-01,2.307371148504698866e+01,-3.081715829600972256e+01,2.183850772036842258e+01,-3.657605190824035191e+01,7.623104896195502533e+01,-3.697151239443090276e+01,5.468976968559100982e+01,-3.282122885333875217e+01,-5.225808884188930392e+01,4.633411049777450330e+01,-5.946366346324715835e+01,1.685465905717124357e+01,4.530250518445768648e+01,4.928060414926962807e+01
3.500000000000000000e+02,3.157057841995277704e+04,4.407295888475718471e+01,-1.071272944547023798e+01,-2.007245201966670578e+01,-3.459779682577909199e+01,-1.384256203956883446e+01,-3.353312211139716226e-01,2.307371148504698866e+01,-3.081715829600972256e+01,2.183850772036842258e+01,-3.657605190824035191e+01,7.623104896195502533e+01,-3.697151239443090276e+01,5.468976968559100982e+01,-3.282122885333875217e+01,-5.225808884188930392e+01,4.633411049777450330e+01,-5.946366346324715835e+01,1.685465905717124357e+01,4.530250518445768648e+01,4.928060414926962807e+01
4.000000000000000000e+02,3.157057841995277704e+04,4.407295888475718471e+01,-1.071272944547023798e+01,-2.007245201966670578e+01,-3.459779682577909199e+01,-1.384256203956883446e+01,-3.353312211139716226e-01,2.307371148504698866e+01,-3.081715829600972256e+01,2.183850772036842258e+01,-3.657605190824035191e+01,7.623104896195502533e+01,-3.697151239443090276e+01,5.468976968559100982e+01,-3.282122885333875217e+01,-5.225808884188930392e+01,4.633411049777450330e+01,-5.946366346324715835e+01,1.685465905717124357e+01,4.530250518445768648e+01,4.928060414926962807e+01
4.500000000000000000e+02,2.034452741622874237e+04,1.338203821927060488e+01,9.104992192743816659e+00,4.899276704882167621e+01,-3.448784312210045044e+01,-6.887261408679094643e+01,-2.202792602305011727e+01,-5.385783927382123437e+01,3.426963515678106376e+01,7.454068944933679219e+00,8.187508535233902762e+00,2.648481612895912463e+01,-2.901113231403525106e+01,1.794249876254188436e+01,-1.386651886116044352e+01,-2.083121557805924340e+00,3.092662098756394329e+01,-1.440510720924360299e+01,4.834435222048396952e+01,-3.468906417315751867e+01,1.733177743091069800e+01
5.000000000000000000e+02,1.902027010092993442e+04,4.038161336697882575e+01,5.008458196601729639e+01,1.830662247954930422e+01,3.337385227622513639e+01,1.841181150226101337e+01,-1.891158455910874636e+01,1.404997671087274824e+01,-1.834729533627241693e+01,-2.356417682633076893e+01,1.792974779205804836e+01,-3.694599947675759211e+01,2.202936911677241838e+01,4.704004028504535029e+01,4.286081322582465702e+01,-2.589456394552534846e+00,2.197343133026790696e+01,-3.441841731653988745e+01,4.013768008722391301e+01,4.572281260651685386e+01,6.991519363413885912e+00
5.500000000000000000e+02,1.902027010092993442e+04,4.038161336697882575e+01,5.008458196601729639e+01,1.830662247954930422e+01,3.337385227622513639e+01,1.841181150226101337e+01,-1.891158455910874636e+01,1.404997671087274824e+01,-1.834729533627241693e+01,-2.356417682633076893e+01,1.792974779205804836e+01,-3.694599947675759211e+01,2.202936911677241838e+01,4.704004028504535029e+01,4.286081322582465702e+01,-2.589456394552534846e+00,2.197343133026790696e+01,-3.441841731653988745e+01,4.013768008722391301e+01,4.572281260651685386e+01,6.991519363413885912e+00
6.000000000000000000e+02,1.902027010092993442e+04,4.038161336697882575e+01,5.008458196601729639e+01,1.830662247954930422e+01,3.337385227622513639e+01,1.841181150226101337e+01,-1.891158455910874636e+01,1.404997671087274824e+01,-1.834729533627241693e+01,-2.356417682633076893e+01,1.792974779205804836e+01,-3.694599947675759211e+01,2.202936911677241838e+01,4.704004028504535029e+01,4.286081322582465702e+01,-2.589456394552534846e+00,2.197343133026790696e+01,-3.441841731653988745e+01,4.013768008722391301e+01,4.572281260651685386e+01,6.991519363413885912e+00
6.500000000000000000e+02,1.902027010092993442e+04,4.038161336697882575e+01,5.008458196601729639e+01,1.830662247954930422e+01,3.337385227622513639e+01,1.841181150226101337e+01,-1.891158455910874636e+01,1.404997671087274824e+01,-1.834729533627241693e+01,-2.356417682633076893e+01,1.792974779205804836e+01,-3.694599947675759211e+01,2.202936911677241838e+01,4.704004028504535029e+01,4.286081322582465702e+01,-2.589456394552534846e+00,2.197343133026790696e+01,-3.441841731653988745e+01,4.013768008722391301e+01,4.572281260651685386e+01,6.991519363413885912e+00
7.000000000000000000e+02,1.902027010092993442e+04,4.038161336697882575e+01,5.008458196601729639e+01,1.830662247954930422e+01,3.337385227622513639e+01,1.841181150226101337e+01,-1.891158455910874636e+01,1.404997671087274824e+01,-1.834729533627241693e+01,-2.356417682633076893e+01,1.792974779205804836e+01,-3.694599947675759211e+01,2.202936911677241838e+01,4.704004028504535029e+01,4.286081322582465702e+01,-2.589456394552534846e+00,2.197343133026790696e+01,-3.441841731653988745e+01,4.013768008722391301e+01,4.572281260651685386e+01,6.991519363413885912e+00
7.500000000000000000e+02,1.757795080018171211e+04,-4.353778279597928247e+01,-1.648372930960193727e+01,-2.383887376657966239e+00,-4.576872713891243905e+01,-1.566570684054757834e+01,-2.612854744660118911e+00,-5.242445701441768335e+01,-1.540262461828817564e+01,-7.201622145857211876e+01,3.721493671881827936e+01,-2.367942511277174589e+01,1.190930382579786340e+00,-1.405308086088388464e+01,2.546587312539199033e+01,-1.599919689564935155e+01,-3.073814815566897352e+01,-1.059528393920272293e+01,2.398988296681578447e+01,-1.358121451405041569e+01,4.469990505495848865e+00
